date,home_team,away_team,home_score,away_score,p_home,p_draw,p_away,p_over_2_5,p_btts,actual_1x2,actual_o25,actual_btts,p_actual_1x2,log_loss_1x2,log_loss_ou25,log_loss_btts
2026-06-11,Mexico,South Africa,2,0,0.7209,0.1568,0.1222,0.7725,0.6587,H,0,0,0.7209,0.3272,1.4807,1.0749
2026-06-11,South Korea,Czech Republic,2,1,0.3927,0.2385,0.3688,0.6708,0.6831,H,1,1,0.3927,0.9347,0.3992,0.3811
2026-06-12,Canada,Bosnia and Herzegovina,1,1,0.5464,0.2005,0.2532,0.7803,0.7476,D,0,1,0.2005,1.6071,1.5156,0.2909
2026-06-12,United States,Paraguay,4,1,0.3149,0.2362,0.4489,0.6678,0.6761,H,1,1,0.3149,1.1556,0.4038,0.3914
2026-06-13,Qatar,Switzerland,1,1,0.0483,0.0943,0.8573,0.8176,0.5639,D,0,1,0.0943,2.3608,1.7013,0.5729
2026-06-13,Brazil,Morocco,1,1,0.4617,0.2396,0.2988,0.6461,0.6572,D,0,1,0.2396,1.4289,1.0388,0.4198
2026-06-13,Haiti,Scotland,0,1,0.1435,0.1726,0.6839,0.7500,0.6612,A,0,0,0.6839,0.3800,1.3864,1.0825
2026-06-13,Australia,Turkey,2,0,0.2027,0.1850,0.6123,0.7921,0.7367,H,0,0,0.2027,1.5959,1.5708,1.3344
2026-06-14,Germany,Curaçao,7,1,0.8506,0.0968,0.0527,0.8263,0.5866,H,1,1,0.8506,0.1618,0.1908,0.5334
2026-06-14,Ivory Coast,Ecuador,1,0,0.1371,0.1640,0.6989,0.7742,0.6755,H,0,0,0.1371,1.9873,1.4882,1.1256
2026-06-14,Netherlands,Japan,2,2,0.5535,0.2149,0.2316,0.6998,0.6774,D,1,1,0.2149,1.5377,0.3570,0.3895
2026-06-14,Sweden,Tunisia,5,1,0.4045,0.2419,0.3537,0.6541,0.6699,H,1,1,0.4045,0.9052,0.4245,0.4006
2026-06-15,Belgium,Egypt,1,1,0.3997,0.2431,0.3572,0.6491,0.6663,D,0,1,0.2431,1.4141,1.0471,0.4061
2026-06-15,Iran,New Zealand,2,2,0.5186,0.2095,0.2719,0.7575,0.7352,D,1,1,0.2095,1.5632,0.2777,0.3077
2026-06-15,Spain,Cape Verde,0,0,0.8693,0.0842,0.0464,0.8607,0.6077,D,0,0,0.0842,2.4740,1.9714,0.9356
2026-06-15,Saudi Arabia,Uruguay,1,1,0.1488,0.1739,0.6773,0.7548,0.6699,D,0,1,0.1739,1.7492,1.4057,0.4006
2026-06-16,France,Senegal,3,1,0.6362,0.1854,0.1785,0.7570,0.6941,H,1,1,0.6362,0.4523,0.2783,0.3652
2026-06-16,Iraq,Norway,1,4,0.1574,0.1818,0.6608,0.7368,0.6624,A,1,1,0.6608,0.4143,0.3055,0.4119
2026-06-16,Argentina,Algeria,3,0,0.7326,0.1542,0.1132,0.7619,0.6388,H,1,0,0.7326,0.3112,0.2720,1.0183
2026-06-16,Austria,Jordan,3,1,0.4574,0.2295,0.3130,0.6959,0.6969,H,1,1,0.4574,0.7821,0.3626,0.3611
2026-06-17,Portugal,DR Congo,1,1,0.6259,0.2009,0.1732,0.6819,0.6314,D,0,1,0.2009,1.6050,1.1455,0.4598
2026-06-17,Uzbekistan,Colombia,1,3,0.1703,0.1987,0.6310,0.6868,0.6331,A,1,1,0.6310,0.4604,0.3758,0.4572
2026-06-17,England,Croatia,4,2,0.5305,0.2159,0.2536,0.7163,0.6980,H,1,1,0.5305,0.6338,0.3337,0.3595
2026-06-17,Ghana,Panama,1,0,0.1884,0.1890,0.6226,0.7564,0.6997,H,0,0,0.1884,1.6692,1.4121,1.2031
2026-06-18,Czech Republic,South Africa,1,1,0.6446,0.1941,0.1613,0.6909,0.6294,D,0,1,0.1941,1.6396,1.1741,0.4630
2026-06-18,Mexico,South Korea,1,0,0.4682,0.2369,0.2949,0.6556,0.6635,H,0,0,0.4682,0.7588,1.0660,1.0892
2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,0.6650,0.1785,0.1565,0.7496,0.6721,H,1,1,0.6650,0.4080,0.2883,0.3974
2026-06-18,Canada,Qatar,6,0,0.7381,0.1420,0.1198,0.8315,0.7099,H,1,0,0.7381,0.3036,0.1846,1.2375
2026-06-19,Scotland,Morocco,0,1,0.2593,0.2217,0.5190,0.6962,0.6847,A,0,0,0.5190,0.6559,1.1913,1.1541
2026-06-19,Brazil,Haiti,3,0,0.7698,0.1340,0.0962,0.8070,0.6566,H,1,0,0.7698,0.2616,0.2144,1.0688
2026-06-19,United States,Australia,2,0,0.3052,0.2227,0.4721,0.7217,0.7151,H,0,0,0.3052,1.1869,1.2790,1.2556
2026-06-19,Turkey,Paraguay,0,1,0.5731,0.2039,0.2229,0.7369,0.7022,A,0,0,0.2229,1.5008,1.3353,1.2112
2026-06-20,Germany,Ivory Coast,2,1,0.4857,0.2190,0.2953,0.7322,0.7212,H,1,1,0.4857,0.7221,0.3117,0.3268
2026-06-20,Ecuador,Curaçao,0,0,0.9840,0.0129,0.0031,0.9498,0.3839,D,0,0,0.0129,4.3504,2.9922,0.4843
2026-06-20,Netherlands,Sweden,5,1,0.5864,0.2067,0.2069,0.7060,0.6706,H,1,1,0.5864,0.5338,0.3481,0.3996
2026-06-20,Tunisia,Japan,0,4,0.2312,0.2092,0.5595,0.7233,0.6952,A,1,0,0.5595,0.5806,0.3239,1.1879
2026-06-21,Belgium,Iran,0,0,0.3355,0.2261,0.4385,0.7191,0.7174,D,0,0,0.2261,1.4870,1.2696,1.2638
2026-06-21,New Zealand,Egypt,1,3,0.2853,0.2232,0.4915,0.7086,0.7011,A,1,1,0.4915,0.7103,0.3445,0.3551
2026-06-21,Spain,Saudi Arabia,4,0,0.5952,0.2110,0.1939,0.6706,0.6364,H,1,0,0.5952,0.5189,0.3996,1.0116
2026-06-21,Uruguay,Cape Verde,2,2,0.7522,0.1430,0.1048,0.7900,0.6527,D,1,1,0.1430,1.9448,0.2358,0.4266
2026-06-22,France,Iraq,3,0,0.7654,0.1357,0.0989,0.8067,0.6601,H,1,0,0.7654,0.2674,0.2148,1.0792
2026-06-22,Norway,Senegal,3,2,0.4844,0.2151,0.3005,0.7514,0.7369,H,1,1,0.4844,0.7248,0.2858,0.3053
2026-06-22,Argentina,Austria,2,0,0.6402,0.1907,0.1691,0.7191,0.6574,H,0,0,0.6402,0.4460,1.2698,1.0711
2026-06-22,Jordan,Algeria,1,2,0.3294,0.2426,0.4281,0.6456,0.6615,A,1,1,0.4281,0.8485,0.4376,0.4133
2026-06-23,Portugal,Uzbekistan,5,0,0.5512,0.2082,0.2406,0.7369,0.7092,H,1,0,0.5512,0.5957,0.3054,1.2353
2026-06-23,Colombia,DR Congo,1,0,0.6771,0.1940,0.1289,0.6239,0.5472,H,0,0,0.6771,0.3900,0.9779,0.7924
2026-06-23,England,Ghana,0,0,0.6940,0.1695,0.1364,0.7486,0.6534,D,0,0,0.1695,1.7747,1.3809,1.0596
2026-06-23,Panama,Croatia,0,1,0.3840,0.2327,0.3832,0.6969,0.7031,A,0,0,0.3832,0.9591,1.1938,1.2145
2026-06-24,Mexico,Czech Republic,3,0,0.5079,0.2204,0.2717,0.7114,0.6998,H,1,0,0.5079,0.6775,0.3405,1.2034
2026-06-24,South Africa,South Korea,1,0,0.1315,0.1847,0.6838,0.6705,0.5856,H,0,0,0.1315,2.0291,1.1101,0.8810
2026-06-24,Canada,Switzerland,1,2,0.2684,0.2224,0.5092,0.7006,0.6907,A,1,1,0.5092,0.6748,0.3558,0.3700
2026-06-24,Bosnia and Herzegovina,Qatar,3,1,0.5498,0.2026,0.2475,0.7667,0.7349,H,1,1,0.5498,0.5981,0.2657,0.3080
2026-06-24,Scotland,Brazil,0,3,0.1510,0.1791,0.6700,0.7366,0.6568,A,1,0,0.6700,0.4005,0.3058,1.0696
2026-06-24,Morocco,Haiti,4,2,0.6624,0.1828,0.1548,0.7275,0.6528,H,1,1,0.6624,0.4118,0.3181,0.4265
2026-06-25,United States,Turkey,2,3,0.1845,0.1868,0.6287,0.7598,0.7001,A,1,1,0.6287,0.4641,0.2747,0.3565
2026-06-25,Paraguay,Australia,0,0,0.3430,0.2287,0.4283,0.7096,0.7110,D,0,0,0.2287,1.4753,1.2366,1.2414
2026-06-25,Curaçao,Ivory Coast,0,2,0.0109,0.0357,0.9534,0.8890,0.4293,A,0,0,0.9534,0.0478,2.1981,0.5609
2026-06-25,Ecuador,Germany,2,1,0.5071,0.2262,0.2667,0.6832,0.6771,H,1,1,0.5071,0.6790,0.3810,0.3899
2026-06-25,Japan,Sweden,1,1,0.3685,0.2205,0.4110,0.7500,0.7435,D,0,1,0.2205,1.5120,1.3864,0.2964
2026-06-25,Tunisia,Netherlands,1,3,0.1353,0.1808,0.6839,0.6961,0.6097,A,1,1,0.6839,0.3799,0.3622,0.4947
2026-06-26,Egypt,Iran,1,1,0.2180,0.2208,0.5612,0.6597,0.6411,D,0,1,0.2208,1.5104,1.0780,0.4445
2026-06-26,New Zealand,Belgium,1,5,0.1641,0.1770,0.6589,0.7692,0.6941,A,1,1,0.6589,0.4171,0.2624,0.3652
2026-06-26,Cape Verde,Saudi Arabia,0,0,0.2810,0.2268,0.4922,0.6907,0.6866,D,0,0,0.2268,1.4839,1.1733,1.1603
2026-06-26,Uruguay,Spain,0,1,0.2421,0.2248,0.5331,0.6684,0.6579,A,0,0,0.5331,0.6290,1.1037,1.0726
2026-06-26,Norway,France,1,4,0.1760,0.1909,0.6331,0.7296,0.6705,A,1,1,0.6331,0.4571,0.3153,0.3998
2026-06-26,Senegal,Iraq,5,0,0.4901,0.2186,0.2913,0.7317,0.7200,H,1,0,0.4901,0.7131,0.3124,1.2729
2026-06-27,Jordan,Argentina,1,3,0.1384,0.1747,0.6869,0.7302,0.6402,A,1,1,0.6869,0.3756,0.3144,0.4460
2026-06-27,Austria,Algeria,3,3,0.5260,0.2323,0.2416,0.6359,0.6335,D,1,1,0.2323,1.4596,0.4527,0.4565
2026-06-27,Colombia,Portugal,0,0,0.3840,0.2448,0.3711,0.6427,0.6619,D,0,0,0.2448,1.4071,1.0292,1.0844
2026-06-27,DR Congo,Uzbekistan,3,1,0.2209,0.2037,0.5753,0.7356,0.7003,H,1,1,0.2209,1.5098,0.3070,0.3563
2026-06-27,Panama,England,0,2,0.2284,0.2096,0.5620,0.7188,0.6905,A,0,0,0.5620,0.5762,1.2687,1.1729
2026-06-27,Croatia,Ghana,2,1,0.4909,0.2230,0.2861,0.7099,0.7023,H,1,1,0.4909,0.7114,0.3426,0.3534
